"","Publisher","Global_Sales"
"325","Detn8 Games",0.23
"326","Essential Games",0.23
"327","Daito",0.23
"328","Bomb",0.22
"329","CCP",0.22
"330","O3 Entertainment",0.22
"331","Quinrose",0.22
"332","System 3",0.22
"333","Vatical Entertainment",0.22
"334","Tommo",0.21
"335","Mercury Games",0.21
"336","On Demand",0.21
"337","Alternative Software",0.2
"338","CDV Software Entertainment",0.2
"339","Funcom",0.2
"340","Gamecock",0.2
"341","Merscom LLC",0.2
"342","Micro Cabin",0.2
"343","Phenomedia",0.19
"344","SSI",0.19
"345","Happinet",0.18
"346","DHM Interactive",0.18
"347","Media Works",0.18
"348","Adeline Software",0.17
"349","Asmik Corp",0.17
"350","Panther Software",0.17
"351","Sunrise Interactive",0.17
"352","Tivola",0.17
"353","Xicat Interactive",0.17
"354","Aques",0.16
"355","Funsta",0.16
"356","Gainax Network Systems",0.16
"357","Slitherine Software",0.16
"358","White Park Bay Software",0.16
"359","Comfort",0.15
"360","Data East",0.15
"361","EA Games",0.15
"362","Global A Entertainment",0.15
"363","Daedalic Entertainment",0.14
"364","Game Arts",0.14
"365","General Entertainment",0.14
"366","HMH Interactive",0.14
"367","Imadio",0.14
"368","Kaga Create",0.14
"369","Sony Music Entertainment",0.14
"370","Tripwire Interactive",0.14
"371","DreamWorks Interactive",0.13
"372","Havas Interactive",0.13
"373","Moss",0.13
"374","Myelin Media",0.13
"375","responDESIGN",0.13
"376","SCS Software",0.13
"377","Bohemia Interactive",0.12
"378","Flight-Plan",0.12
"379","FunSoft",0.12
"380","Insomniac Games",0.12
"381","LSP Games",0.12
"382","NDA Productions",0.12
"383","SPS",0.12
"384","T&E Soft",0.12
"385","10TACLE Studios",0.11
"386","Ascaron Entertainment GmbH",0.11
"387","dramatic create",0.11
"388","Gameloft",0.11
"389","Pack-In-Video",0.11
"390","PopTop Software",0.11
"391","Simon & Schuster Interactive",0.11
"392","TOHO",0.11
"393","Tradewest",0.11
"394","1C Company",0.1
"395","Enjoy Gaming ltd.",0.1
"396","GameTek",0.1
"397","Image Epoch",0.1
"398","Interchannel",0.1
"399","Interplay Productions",0.1
"400","inXile Entertainment",0.1
"401","PM Studios",0.1
"402","Type-Moon",0.1
"403","Creative Core",0.1
"404","TGL",0.1
"405","Athena",0.09
"406","Edia",0.09
"407","Arika",0.09
"408","Culture Publishers",0.09
"409","Griffin International",0.09
"410","Groove Games",0.09
"411","Hearty Robin",0.09
"412","Nippon Amuse",0.09
"413","Origin Systems",0.09
"414","Phantom EFX",0.09
"415","7G//AMES",0.08
"416","Abylight",0.08
"417","Cloud Imperium Games Corporation",0.08
"418","Crimson Cow",0.08
"419","Flashpoint Games",0.08
"420","Glams",0.08
"421","Iceberg Interactive",0.08
"422","KID",0.08
"423","MC2 Entertainment",0.08
"424","Milestone",0.08
"425","Mitsui",0.08
"426","Seventh Chord",0.08
"427","Yuke's",0.08
"428","Altron",0.07
"429","Aria",0.07
"430","Coconuts Japan",0.07
"431","Elite",0.07
"432","Encore",0.07
"433","Evolution Games",0.07
"434","Licensed 4U",0.07
"435","Locus",0.07
"436","Misawa",0.07
"437","Princess Soft",0.07
"438","Warp",0.07
"439","Revolution Software",0.07
"440","DigiCube",0.06
"441","Ecole",0.06
"442","Experience Inc.",0.06
"443","Fortyfive",0.06
"444","Grand Prix Games",0.06
"445","HAL Laboratory",0.06
"446","Imax",0.06
"447","iWin",0.06
"448","Office Create",0.06
"449","Sonnet",0.06
"450","Virtual Play Games",0.06
"451","Yumedia",0.06
"452","Zenrin",0.06
"453","Alawar Entertainment",0.05
"454","Big Fish Games",0.05
"455","Dusenberry Martin Racing",0.05
"456","Easy Interactive",0.05
"457","Ertain",0.05
"458","Focus Multimedia",0.05
"459","GN Software",0.05
"460","Lexicon Entertainment",0.05
"461","Mamba Games",0.05
"462","Marvel Entertainment",0.05
"463","Max Five",0.05
"464","MediaQuest",0.05
"465","Milestone S.r.l",0.05
"466","Minato Station",0.05
"467","Monte Christo Multimedia",0.05
"468","Navarre Corp",0.05
"469","Phantagram",0.05
"470","Pony Canyon",0.05
"471","Pow",0.05
"472","Sweets",0.05
"473","System Soft",0.05
"474","Team17 Software",0.05
"475","TechnoSoft",0.05
"476","The Learning Company",0.05
"477","Vap",0.05
"478","WayForward Technologies",0.05
"479","2D Boy",0.04
"480","49Games",0.04
"481","Alvion",0.04
"482","Devolver Digital",0.04
"483","G.Rev",0.04
"484","Gakken",0.04
"485","imageepoch Inc.",0.04
"486","Ivolgamus",0.04
"487","Kool Kizz",0.04
"488","Legacy Interactive",0.04
"489","MLB.com",0.04
"490","Playmore",0.04
"491","Riverhillsoft",0.04
"492","Societa",0.04
"493","Summitsoft",0.04
"494","TopWare Interactive",0.04
"495","Yamasa Entertainment",0.04
"496","Aerosoft",0.03
"497","ASK",0.03
"498","Berkeley",0.03
"499","Blue Byte",0.03
"500","BushiRoad",0.03
"501","Cygames",0.03
"502","Datam Polystar",0.03
"503","Dorart",0.03
"504","Extreme Entertainment Group",0.03
"505","Fields",0.03
"506","Fuji",0.03
"507","FuRyu Corporation",0.03
"508","Headup Games",0.03
"509","Her Interactive",0.03
"510","HuneX",0.03
"511","id Software",0.03
"512","Intergrow",0.03
"513","Just Flight",0.03
"514","Kamui",0.03
"515","Kando Games",0.03
"516","Kids Station",0.03
"517","Kokopeli Digital Studios",0.03
"518","KSS",0.03
"519","Maximum Family Games",0.03
"520","NetRevo",0.03
"521","Nexon",0.03
"522","Number None",0.03
"523","Paon Corporation",0.03
"524","Strategy First",0.03
"525","Sunflowers",0.03
"526","Tryfirst",0.03
"527","Views",0.03
"528","Codemasters Online",0.02
"529","fonfun",0.02
"530","Gaga",0.02
"531","Giga",0.02
"532","Giza10",0.02
"533","GOA",0.02
"534","Graphsim Entertainment",0.02
"535","Imageworks",0.02
"536","Introversion Software",0.02
"537","Karin Entertainment",0.02
"538","King Records",0.02
"539","Lighthouse Interactive",0.02
"540","Marvelous Games",0.02
"541","Masque Publishing",0.02
"542","Mirai Shounen",0.02
"543","Mycom",0.02
"544","Nitroplus",0.02
"545","Phoenix Games",0.02
"546","Plenty",0.02
"547","Quintet",0.02
"548","RED Entertainment",0.02
"549","Revolution (Japan)",0.02
"550","Saurus",0.02
"551","Sold Out",0.02
"552","Technos Japan Corporation",0.02
"553","Visco",0.02
"554","Warashi",0.02
"555","Ascaron Entertainment",0.01
"556","Boost On",0.01
"557","Commseed",0.01
"558","EON Digital Entertainment",0.01
"559","Epic Games",0.01
"560","Genterprise",0.01
"561","Interchannel-Holon",0.01
"562","Interworks Unlimited, Inc.",0.01
"563","Inti Creates",0.01
"564","Media Entertainment",0.01
"565","Michaelsoft",0.01
"566","Naxat Soft",0.01
"567","New World Computing",0.01
"568","Ongakukan",0.01
"569","Otomate",0.01
"570","Paradox Development",0.01
"571","Piacci",0.01
"572","Rain Games",0.01
"573","Stainless Games",0.01
"574","Takuyo",0.01
"575","UIG Entertainment",0.01
